Date,Open,High,Low,Close,Volume,Volume(SOL),Market Cap
01/31/2025,$238.38,$241.49,$228.38,$231.55,$3.4 bn,14227669,$114.8 bn
01/30/2025,$228.49,$244.20,$227.24,$238.99,$3.7 bn,15363363,$116.5 bn
01/29/2025,$227.14,$237.48,$222.88,$227.87,$4.4 bn,18879741,$112.3 bn
01/28/2025,$234.92,$243.60,$225.35,$227.31,$3.9 bn,16419432,$113.7 bn
01/27/2025,$240.41,$242.18,$222.05,$235.07,$8.9 bn,38560311,$111.6 bn
01/26/2025,$256.45,$259.75,$240.78,$240.78,$3.2 bn,12732596,$123.3 bn
01/25/2025,$253.26,$260.53,$246.58,$256.28,$4.1 bn,16434480,$121.9 bn
01/24/2025,$253.35,$269.49,$247.69,$253.39,$5.9 bn,22635380,$125.6 bn
01/23/2025,$257.52,$258.12,$242.56,$253.43,$7.8 bn,31161579,$120.4 bn
01/22/2025,$249.97,$271.15,$248.99,$257.18,$7.2 bn,28149677,$124.3 bn
01/21/2025,$242.23,$259.66,$231.70,$250.35,$9.3 bn,38188742,$117.1 bn
01/20/2025,$252.32,$272.88,$231.57,$242.14,$19.2 bn,76487336,$121.2 bn
01/19/2025,$261.90,$294.87,$239.86,$251.75,$26.4 bn,98372094,$129.6 bn
01/18/2025,$219.62,$264.58,$217.54,$262.41,$20 bn,83316439,$116.1 bn
01/17/2025,$216.81,$220.94,$216.77,$219.58,$4.2 bn,19172152,$105.7 bn
01/15/2025,$187.55,$205.87,$186.11,$205.87,$3.6 bn,18816681,$93.4 bn
01/14/2025,$182.78,$189.96,$181.96,$187.54,$2.4 bn,13032415,$90 bn
01/13/2025,$188.59,$191.75,$170.55,$182.90,$4.6 bn,25651297,$87.4 bn
01/12/2025,$188.07,$190.74,$185.32,$188.61,$1.4 bn,7327136,$90.7 bn
01/11/2025,$187.68,$191.56,$184.29,$188.07,$1.9 bn,9971940,$90.3 bn
01/10/2025,$185.48,$192.74,$184.06,$187.54,$3.3 bn,17235342,$91.3 bn
01/09/2025,$197.46,$198.95,$182.41,$184.97,$3.3 bn,17520092,$92.2 bn
01/08/2025,$202.15,$203.04,$189.13,$197.56,$4.1 bn,20666020,$95.1 bn
01/07/2025,$218.26,$219.01,$202.13,$202.28,$3.4 bn,16203120,$102.4 bn
01/06/2025,$213.51,$222.79,$211.71,$218.33,$2.9 bn,13238042,$104.8 bn
01/05/2025,$216.67,$218.77,$211.82,$213.42,$1.9 bn,8724312,$99.8 bn
01/04/2025,$217.97,$217.97,$213.81,$216.60,$1.9 bn,8726390,$100.5 bn
01/03/2025,$208.29,$219.73,$205.89,$217.81,$3.3 bn,15419978,$98.8 bn
01/02/2025,$194.32,$209.18,$193.53,$207.95,$3.4 bn,16665882,$95.3 bn
01/01/2025,$189.24,$195.16,$188.20,$194.23,$1.9 bn,9842311,$88.8 bn
12/31/2024,$191.37,$199.11,$188.19,$189.68,$2.7 bn,14019316,$89.6 bn